ORDEN, LLAVEHOG, ESTADOCIVIL
1,60022461,3
1,60022511,4
1,60022561,4
2,60022571,5
4,60022621,4
2,60022661,3
4,60022691,3
1,60022761,5
1,60022781,5
2,60022911,5
1,60022931,4
2,60022951,4
1,60022961,4
1,60022981,4
1,60023051,4
1,60023111,4
1,60023171,4
2,60023181,5
4,60023181,3
1,60023281,5
2,60023321,4
5,60023321,5
2,60023401,3
1,60023421,4
6,60023421,5
3,60023551,5
1,60023571,4
2,60023691,4
2,60023711,4
1,60023731,4
1,60023781,4
5,60023841,5
1,60023871,4
3,60023871,4
1,60023881,4
1,60023921,4
2,60023941,4
4,60023941,4
4,60024071,5
2,60024081,4
1,60024121,4
1,60024131,4
1,60024531,4
3,60024581,4
2,60024601,4
9,60024611,5
4,60024671,4
1,60024701,4
1,60024711,4
1,60024732,4
1,60024733,4
1,60024801,4
2,60024841,3
1,60024881,4
1,60024941,4
4,60025031,4
1,60025041,3
1,60025061,4
1,60025191,5
1,60025231,4
5,60025241,4
4,60025261,5
1,60025271,3
1,60025321,4
4,60025321,5
2,60025351,4
1,60025361,4
1,60025371,4
2,60025371,5
1,60025391,4
4,60025391,5
4,60025411,5
6,60025411,5
3,60025481,4
1,60025521,5
1,60025541,3
1,60025551,4
1,60025571,5
1,60025572,5
1,60025581,5
1,60025591,4
2,60025621,5
1,60025631,4
1,60025661,4
5,60025741,4
1,60025771,3
1,60025931,5
1,60026061,5
1,60026191,3
1,60026211,4
1,60026311,5
1,60026351,5
3,60026351,5
1,60026371,4
1,60026391,5
1,60026411,5
1,60026481,5
1,60026571,4
2,60026601,5
3,60026601,5
1,60026621,4
2,60026691,5
1,60026821,4
2,60026921,5
1,60026931,5
1,60026951,4
2,60026961,4
1,60026991,4
3,60027001,5
1,60027121,4
1,60027141,5
1,60027161,4
2,60027261,5
5,60027281,5
1,60027321,4
4,60027441,5
1,60027691,3
3,60027711,4
1,60027781,3
1,60027831,5
2,60027851,5
2,60027871,4
3,60027961,5
1,60028051,3
3,60028061,4
1,60028221,3
6,60028321,5
1,60028521,4
2,60028601,5
4,60028801,4
1,60028841,4
1,60028931,3
1,60029091,4
2,60029231,3
2,60029281,5
1,60029411,4
5,60029411,4
1,60029421,4
1,60029431,5
1,60029471,4
2,60029481,5
1,60029621,4
3,60029621,4
1,60029631,4
3,60029631,4
1,60029641,4
3,60029721,5
1,60029751,4
3,60029811,5
1,60029881,5
1,60029941,4
1,60029971,4
1,60030061,4
1,60030081,4
4,60030091,5
5,60030091,4
1,60030121,5
1,60030181,4
1,60030321,4
2,60030321,5
1,60030381,4
2,60030391,3
1,60030411,4
1,60030461,4
3,60030461,5
1,60030471,4
5,60030481,5
1,60030521,4
1,60030671,4
2,60030671,4
6,60030671,4
1,60030751,4
2,60030771,4
2,60030951,4
1,60031011,4
1,60031031,4
1,60031071,4
1,60031101,4
4,60031101,4
2,60031331,4
1,60031411,5
1,60031621,4
1,60031641,4
2,60031711,4
1,60031731,4
1,60031791,4
1,60031861,4
1,60032001,4
1,60032113,5
3,60032131,4
1,60032161,4
2,60032161,5
5,60032231,4
1,60032271,4
1,60032301,4
3,60032301,4
4,60032331,5
3,60032341,4
2,60032491,5
4,60032491,5
1,60032611,4
1,60032731,4
1,60032781,4
1,60032821,4
