ORDEN, LLAVEHOG, ESTADOCIVIL
1,60108781,5
3,60108821,5
2,60108831,4
1,60108871,4
1,60108891,4
1,60108901,4
1,60108941,4
5,60109001,5
4,60109011,5
1,60109051,3
2,60109071,4
4,60109261,4
1,60109361,4
3,60109571,4
1,60109621,4
6,60109701,5
4,60109791,4
3,60109851,4
1,60109951,4
1,60110101,4
4,60110141,4
2,60110151,4
1,60110261,4
1,60110291,4
3,60110381,4
3,60110401,4
1,60110511,4
1,60110531,4
1,60110621,4
1,60110641,3
1,60110821,3
1,60110841,4
1,60110941,4
1,60110961,3
1,60111031,4
1,60111071,4
1,60111081,4
1,60111101,4
5,60111101,4
3,60111141,4
5,60111151,4
5,60111271,4
2,60111371,4
3,60111381,4
1,60111391,4
3,60111421,4
5,60111421,4
1,60111691,4
3,60111691,4
1,60111781,4
1,60111811,4
4,60111811,4
6,60111811,4
3,60111841,4
1,60111871,4
1,60111971,5
1,60112121,5
1,60112221,4
1,60112261,4
2,60112311,4
1,60112321,5
1,60112421,4
3,60112471,5
1,60112491,3
1,60112521,4
1,60112551,5
2,60112551,5
3,60112581,5
1,60112591,4
1,60112611,4
2,60112611,5
1,60112781,4
1,60112821,4
1,60112911,4
1,60112961,4
3,60112991,4
1,60113001,3
1,60113041,4
6,60113111,5
1,60113191,4
1,60113561,4
1,60113571,5
1,60113681,5
1,60113691,5
3,60113861,4
1,60114061,4
1,60114101,4
1,60114131,4
1,60114151,5
1,60114171,5
3,60114211,5
4,60114251,4
1,60114321,4
5,60114611,5
3,60114721,4
1,60114771,4
1,60114851,4
3,60114851,4
3,60114871,4
1,60114921,4
7,60114941,5
1,60114961,4
5,60114981,5
3,60115021,5
1,60115041,4
4,60115061,5
3,60115281,5
1,60115303,5
1,60115331,5
2,60115471,5
1,60115591,3
2,60115601,5
3,60115621,5
3,60115671,5
2,60115721,5
1,60115871,4
1,60116031,4
1,60116041,3
1,60116071,5
1,60116341,5
2,60118031,5
1,60118041,4
2,60118091,4
3,60118151,5
3,60118241,5
3,60118401,5
1,60118491,5
1,60118631,5
1,60118661,5
3,60118681,5
1,60118741,4
1,60118801,4
1,60118851,5
1,60118861,5
3,60118951,5
1,60119081,5
1,60119111,4
1,60119201,5
1,60119241,5
1,60119261,4
5,60119261,5
1,60119351,5
1,60119391,5
1,60119411,4
1,60119471,4
1,60119491,4
1,60119641,5
1,60119801,3
1,60119981,4
1,60120051,3
1,60120191,5
2,60120191,5
1,60120241,4
4,60120251,5
1,60120411,5
1,60120421,4
3,60120421,5
1,60120431,4
2,60120451,5
3,60120531,4
1,60120591,4
1,60120791,4
1,60120951,4
1,60121001,5
2,60121171,5
1,60121251,5
1,60121301,3
1,60121541,5
5,60121601,5
1,60121621,4
1,60121781,4
2,60121881,5
3,60122051,5
1,60122091,5
1,60122121,5
2,60122231,3
1,60122301,4
2,60122331,4
2,60122341,4
4,60122431,4
1,60122481,4
3,60122511,5
1,60122531,4
1,60122731,5
1,60122801,4
1,60122951,5
4,60123001,5
1,60123021,4
1,60123151,4
1,60123231,5
1,60123311,5
1,60123321,5
3,60123331,3
5,60123331,4
1,60123361,5
1,60123381,5
1,60123391,5
3,60123521,5
1,60123571,4
3,60123701,5
1,60123831,4
4,60123971,5
1,60124461,3
3,60124461,5
1,60124471,4
1,60124481,5
1,60124561,5
4,60124561,4
1,60124591,4
1,60124601,5
1,60124621,5
1,60124661,5
2,60124711,4
3,60124781,5
1,60124801,5
1,60124831,4
1,60124832,4
4,60124832,5
3,60124871,4
4,60124911,5
1,60124941,4
1,60125021,3
2,60125081,5
1,60125101,4
1,60125121,4
2,60125221,3
2,60125241,4
1,60125331,4
1,60125491,4
1,60125581,4
1,60125611,5
1,60125721,4
5,60125821,4
2,60125971,4
3,60126081,4
1,60126221,4
1,60126251,4
2,60126361,4
1,60126481,4
1,60126711,4
1,60126801,4
1,60126831,4
4,60126831,4
4,60126941,5
1,60126981,5
1,60127001,5
1,60127021,4
2,60127081,4
1,60127181,5
1,60127221,3
1,60127241,4
3,60127491,5
1,60127661,4
1,60127691,5
3,60127731,5
1,60127921,5
1,60127941,4
1,60128021,4
3,60128021,4
2,60128081,3
1,60128151,4
1,60128161,4
4,60128291,4
1,60128331,5
1,60128351,4
1,60128391,4
4,60128391,5
6,60128391,5
1,60128401,4
1,60128451,5
1,60128481,5
1,60128521,4
3,60128611,5
3,60128661,4
5,60128671,4
2,60128751,5
1,60128781,4
1,60128791,4
1,60129051,4
1,60129081,4
1,60129091,5
1,60129111,4
4,60129171,4
1,60129211,4
1,60129231,5
1,60129251,3
1,60129261,4
1,60129321,3
4,60129351,5
6,60129351,5
9,60129351,5
4,60129361,5
1,60129371,3
3,60129411,4
1,60129501,4
2,60129511,5
1,60129541,5
1,60129601,3
1,60129671,4
1,60129701,5
2,60129701,5
1,60129721,4
2,60129741,4
2,60129781,4
1,60129821,5
1,60129891,4
1,60129931,4
1,60129971,5
1,60130121,4
1,60130191,3
1,60130271,5
5,60130291,5
1,60130321,3
1,60130391,4
1,60130421,5
1,60130451,5
1,60130561,5
3,60130561,4
1,60130611,5
3,60130641,3
1,60130661,4
1,60130782,4
1,60130791,4
1,60130801,3
4,60130831,4
4,60130931,5
1,60130991,4
5,60131021,4
1,60131041,4
4,60131041,5
1,60131101,4
1,60131191,4
3,60131311,5
3,60131321,4
1,60131421,4
11,60131621,4
1,60131661,4
1,60131691,4
1,60132161,4
1,60132191,3
3,60132191,4
2,60132301,4
1,60132331,4
1,60132381,4
1,60132421,4
5,60132421,4
2,60132441,3
1,60132471,4
1,60132571,4
1,60132691,4
1,60132692,4
4,60132692,4
4,60132781,4
3,60132791,4
3,60132861,5
1,60132871,4
1,60132911,4
1,60132931,4
1,60132961,4
2,60132961,5
1,60132971,4
2,60133101,5
5,60133151,4
1,60133211,4
1,60133221,3
1,60133231,3
1,60133271,4
1,60133291,3
1,60133351,4
1,60133431,4
1,60133461,3
2,60133461,4
3,60133471,4
4,60133481,4
1,60133531,4
2,60133571,4
1,60133731,4
4,60133781,4
1,60133911,4
1,60133961,4
1,60134041,4
3,60134041,4
6,60134071,5
8,60134071,5
1,60134111,4
2,60134111,5
1,60134181,4
1,60134241,3
2,60134241,5
2,60134301,5
1,60134321,5
1,60134331,4
4,60134361,4
1,60134381,5
1,60134401,3
1,60134451,5
1,60134471,3
1,60134491,4
1,60134511,4
1,60134521,4
3,60134521,4
1,60134531,5
3,60134531,5
1,60134741,4
1,60134841,3
4,60134851,5
1,60134911,4
3,60134941,5
3,60134951,4
1,60134971,3
1,60135001,5
1,60135011,3
2,60135051,3
2,60135111,4
1,60135191,4
1,60135261,3
1,60135371,4
1,60135381,4
1,60135661,4
1,60135751,4
5,60135761,4
1,60135771,4
3,60135781,4
1,60135821,4
1,60135971,4
1,60135991,5
1,60136061,4
3,60136071,5
1,60136131,4
4,60136131,4
6,60136131,4
1,60136151,4
1,60136171,5
1,60136221,4
1,60136261,4
6,60136301,4
1,60136331,4
2,60136331,4
4,60136351,4
6,60136351,4
1,60136451,5
1,60136471,4
1,60136491,4
3,60136511,4
7,60136601,4
3,60136651,5
5,60136651,5
7,60136651,5
3,60136811,5
1,60136821,5
1,60136991,3
3,60137001,4
5,60137171,4
7,60137171,4
1,60137181,4
1,60137471,4
5,60137551,5
4,60137571,5
1,60137661,4
1,60137761,5
1,60137811,4
3,60137911,5
4,60137931,5
1,60138131,3
4,60138491,5
2,60138601,4
2,60138661,4
1,60138671,4
1,60138701,4
1,60138721,4
1,60138731,5
1,60138761,4
7,60138881,5
1,60138891,5
2,60139331,4
1,60139501,5
1,60139521,5
1,60139551,4
6,60139551,5
11,60139601,5
6,60139621,4
1,60139631,4
1,60139701,3
3,60139751,5
1,60139781,5
2,60139831,5
1,60139931,4
1,60139941,4
1,60140011,4
5,60140011,4
1,60140031,5
1,60140041,3
1,60140151,3
5,60140171,3
4,60140231,4
2,60140251,4
3,60140251,5
1,60140281,4
2,60140471,4
4,60140921,5
3,60140951,4
1,60140971,3
1,60141001,4
4,60141211,5
2,60141231,5
1,60141241,4
1,60141401,5
2,60141401,5
1,60141431,3
1,60141441,5
3,60141481,5
1,60141551,3
2,60141651,4
1,60141711,5
3,60141731,5
1,60141791,4
1,60141861,4
1,60141961,4
1,60141971,3
4,60142091,4
4,60142261,5
1,60142291,4
1,60142511,4
1,60142531,4
1,60142551,5
1,60142571,4
1,60142581,4
1,60142671,4
2,60142671,5
1,60142691,4
1,60143011,4
1,60143032,4
1,60143051,3
1,60143211,4
5,60143231,5
1,60143291,5
1,60143391,5
3,60143591,5
1,60143671,5
3,60143911,5
1,60144081,4
3,60144081,5
1,60144091,4
4,60144091,5
1,60144241,5
1,60144261,4
1,60144351,4
3,60144351,3
2,60144581,3
3,60144631,5
1,60144662,4
1,60144663,4
1,60144681,5
1,60144731,4
3,60144731,4
1,60144781,4
1,60144851,4
1,60144881,5
3,60144881,4
3,60144931,4
1,60145181,4
1,60145211,5
3,60145211,5
4,60145221,5
5,60145221,5
7,60145221,5
3,60145231,5
1,60145251,4
2,60145251,5
5,60145251,5
3,60145281,5
1,60145291,4
4,60145301,5
6,60145301,5
2,60145331,5
1,60145431,4
4,60145431,4
1,60145471,4
1,60145521,3
3,60145561,5
1,60145581,4
1,60145591,4
2,60145591,5
1,60145661,4
1,60145691,3
1,60145701,4
1,60145751,3
3,60145751,4
7,60145751,3
1,60145761,4
2,60145821,5
3,60145841,5
2,60145871,5
4,60145871,5
1,60145901,4
1,60145991,5
1,60146001,5
7,60146041,5
1,60146061,3
2,60146061,5
1,60146071,4
1,60146081,4
3,60146151,5
3,60146221,5
1,60146231,3
1,60146251,4
1,60146321,4
2,60146341,5
1,60146431,5
1,60146451,4
2,60146461,5
4,60146481,5
1,60146551,5
3,60146591,5
1,60146631,3
1,60146661,4
1,60146681,4
1,60146721,4
1,60146821,3
1,60146851,3
2,60146851,4
1,60146881,4
1,60146901,4
2,60146901,4
3,60146941,4
1,60146951,4
1,60146991,4
1,60147021,5
1,60147261,4
6,60147261,5
2,60147291,5
6,60147291,4
2,60147301,5
6,60147311,5
1,60147321,4
2,60147391,4
1,60147481,3
1,60147511,3
1,60147561,4
6,60147561,5
1,60147571,4
1,60147611,4
1,60149531,4
5,60149571,4
1,60149581,4
1,60149621,4
1,60149631,4
1,60149681,3
1,60149781,3
3,60149791,5
1,60149891,4
3,60149931,5
1,60149941,5
3,60149961,5
1,60149971,4
4,60149971,4
1,60150011,5
1,60150121,4
1,60150191,5
1,60150271,3
3,60150271,5
1,60151031,4
1,60151081,4
3,60151081,5
3,60151251,5
2,60151261,5
1,60151351,5
1,60151661,3
1,60151711,5
3,60151801,5
1,60151931,4
2,60151981,5
1,60152111,5
3,60152121,5
1,60152131,4
1,60152141,5
1,60152171,4
3,60152171,5
1,60152211,4
1,60152271,5
5,60152411,4
1,60152521,5
1,60152541,4
3,60152591,5
1,60152651,4
2,60152751,5
1,60152761,5
1,60152841,5
1,60152931,4
3,60152951,4
1,60153121,4
1,60153581,4
2,60153581,5
1,60153831,5
1,60153931,5
2,60154021,5
1,60154071,4
2,60154181,5
3,60154211,5
1,60154281,5
3,60154291,4
1,60154351,3
4,60154421,4
6,60154421,4
1,60154441,4
1,60154611,4
3,60154621,5
2,60154731,5
4,60154731,5
1,60154751,4
3,60154791,5
3,60154811,4
1,60154871,4
3,60154951,4
3,60154981,4
1,60155121,3
5,60155161,4
1,60155471,4
3,60155711,4
4,60155751,4
3,60155781,4
4,60155911,4
1,60156001,4
1,60156141,4
1,60156181,4
3,60156311,4
1,60156761,4
1,60156811,4
1,60156841,3
2,60156911,5
1,60156941,3
4,60157061,5
3,60157141,4
5,60157171,4
5,60157221,4
1,60157281,4
1,60157311,4
1,60157351,4
3,60157421,5
1,60157591,3
5,60157591,5
1,60157661,3
1,60157671,4
1,60157741,4
1,60157751,4
3,60157783,4
1,60157821,4
2,60157821,5
3,60157831,5
3,60157861,5
1,60157891,4
1,60157971,5
1,60158021,4
1,60158833,5
2,60158861,5
1,60158991,5
1,60159191,4
6,60159241,5
2,60159291,4
1,60159331,4
1,60159341,4
1,60159491,4
1,60159571,5
1,60159601,4
1,60159611,3
1,60159621,5
4,60159681,4
1,60159801,4
1,60159901,4
