"ORDEN","P6020","P6051","P5502","P6071","P6071S1","P6081","P6081S1","P6083","P6083S1","LLAVEHOG"
5,1,3,6,2,0,1,1,1,2,"60020271"
6,2,3,6,1,7,1,1,1,2,"60020271"
7,1,8,6,1,6,2,0,2,0,"60020271"
1,1,1,6,1,2,3,0,3,0,"60020281"
2,2,2,6,1,1,3,0,3,0,"60020281"
3,1,3,4,0,0,1,1,1,2,"60020281"
4,1,4,5,0,0,1,3,2,0,"60020281"
1,1,1,2,1,2,3,0,3,0,"60020291"
2,2,2,2,1,1,2,0,2,0,"60020291"
3,1,3,5,0,0,1,1,1,2,"60020291"
4,2,3,0,0,0,1,1,1,2,"60020291"
1,1,1,2,1,2,3,0,3,0,"60020301"
2,2,2,2,1,1,3,0,2,0,"60020301"
3,1,3,0,0,0,1,1,1,2,"60020301"
4,2,3,0,0,0,1,1,1,2,"60020301"
1,1,1,6,1,2,2,0,2,0,"60020311"
2,2,2,6,1,1,2,0,2,0,"60020311"
3,2,3,0,0,0,1,1,1,2,"60020311"
4,2,9,5,0,0,2,0,2,0,"60020311"
1,1,1,2,1,2,2,0,2,0,"60020331"
2,2,2,2,1,1,3,0,3,0,"60020331"
3,1,3,5,0,0,1,1,2,0,"60020331"
4,1,3,5,0,0,1,1,2,0,"60020331"
5,1,3,0,0,0,1,1,1,2,"60020331"
6,2,3,0,0,0,1,1,1,2,"60020331"
1,2,1,5,0,0,2,0,2,0,"60020341"
2,2,3,5,0,0,2,0,1,1,"60020341"
3,1,14,6,1,4,2,0,2,0,"60020341"
4,2,14,6,1,3,3,0,3,0,"60020341"
1,1,1,6,1,2,3,0,2,0,"60020351"
2,2,2,6,1,1,3,0,2,0,"60020351"
3,2,3,5,0,0,1,1,1,2,"60020351"
4,2,3,5,0,0,1,1,1,2,"60020351"
1,2,1,2,1,2,3,0,2,0,"60020361"
2,1,2,2,1,1,2,0,2,0,"60020361"
1,1,1,6,1,2,2,0,2,0,"60020381"
2,2,2,6,1,1,2,0,2,0,"60020381"
3,2,3,5,0,0,1,1,1,2,"60020381"
4,1,3,5,0,0,1,1,1,2,"60020381"
1,2,1,4,0,0,2,0,2,0,"60020391"
2,1,3,5,0,0,2,0,1,1,"60020391"
3,1,3,0,0,0,2,0,1,1,"60020391"
1,1,1,6,1,2,2,0,2,0,"60020401"
2,2,2,6,1,1,3,0,2,0,"60020401"
3,2,3,5,0,0,1,1,1,2,"60020401"
4,2,3,5,0,0,1,1,1,2,"60020401"
1,1,1,6,1,2,2,0,2,0,"60020411"
2,2,2,6,1,1,2,0,2,0,"60020411"
3,1,3,5,0,0,1,1,1,2,"60020411"
1,1,1,6,1,2,2,0,2,0,"60020421"
2,2,2,6,1,1,3,0,2,0,"60020421"
1,1,1,6,1,2,2,0,2,0,"60020431"
2,2,2,6,1,1,2,0,3,0,"60020431"
3,1,3,0,0,0,1,1,1,2,"60020431"
4,1,3,0,0,0,1,1,1,2,"60020431"
1,1,1,6,1,2,3,0,2,0,"60020441"
2,2,2,6,1,1,3,0,2,0,"60020441"
1,1,1,6,1,2,3,0,3,0,"60020451"
2,2,2,6,1,1,3,0,3,0,"60020451"
3,2,3,5,0,0,1,1,1,2,"60020451"
4,1,3,5,0,0,1,1,1,2,"60020451"
1,2,1,2,2,0,3,0,2,0,"60020461"
2,2,3,5,0,0,2,0,1,1,"60020461"
3,1,3,0,0,0,2,0,1,1,"60020461"
1,1,1,2,1,2,3,0,2,0,"60020471"
2,2,2,2,1,1,2,0,2,0,"60020471"
3,1,3,0,0,0,1,1,1,2,"60020471"
1,1,1,6,1,2,3,0,3,0,"60020481"
2,2,2,6,1,1,3,0,3,0,"60020481"
1,1,1,2,1,2,3,0,2,0,"60020491"
2,2,2,2,1,1,2,0,2,0,"60020491"
3,1,3,5,0,0,1,1,1,2,"60020491"
4,2,3,0,0,0,1,1,1,2,"60020491"
1,1,1,2,1,2,2,0,2,0,"60020501"
2,2,2,2,1,1,2,0,2,0,"60020501"
3,2,3,5,0,0,1,1,1,2,"60020501"
4,1,3,0,0,0,1,1,1,2,"60020501"
5,1,3,0,0,0,1,1,1,2,"60020501"
1,2,1,4,0,0,2,0,2,0,"60020511"
2,1,3,5,0,0,2,0,1,1,"60020511"
1,2,1,5,0,0,3,0,3,0,"60020521"
1,1,1,2,1,2,2,0,2,0,"60020531"
2,2,2,2,1,1,3,0,2,0,"60020531"
3,1,3,5,0,0,1,1,1,2,"60020531"
1,1,1,2,1,2,2,0,2,0,"60020541"
2,2,2,2,1,1,3,0,2,0,"60020541"
3,2,3,5,0,0,1,1,1,2,"60020541"
4,2,3,5,0,0,1,1,1,2,"60020541"
5,1,14,5,0,0,3,0,2,0,"60020541"
1,1,1,5,0,0,3,0,3,0,"60020551"
2,1,7,6,1,3,3,0,3,0,"60020551"
3,2,14,6,1,2,3,0,3,0,"60020551"
1,2,1,4,0,0,3,0,3,0,"60020561"
2,1,3,5,0,0,2,0,1,1,"60020561"
3,1,3,5,0,0,2,0,1,1,"60020561"
1,2,1,2,1,2,2,0,2,0,"60020571"
2,1,2,2,1,1,3,0,2,0,"60020571"
3,2,3,0,0,0,1,2,1,1,"60020571"
1,1,1,6,1,2,3,0,3,0,"60020581"
2,2,2,6,1,1,3,0,3,0,"60020581"
3,1,3,4,0,0,1,1,1,2,"60020581"
4,1,4,5,0,0,1,3,2,0,"60020581"
1,1,1,6,1,2,3,0,3,0,"60020591"
2,2,2,6,1,1,3,0,3,0,"60020591"
3,1,3,5,0,0,1,1,1,2,"60020591"
1,1,1,6,1,2,3,0,3,0,"60020601"
2,2,2,6,1,1,3,0,2,0,"60020601"
1,1,1,6,1,2,3,0,2,0,"60020611"
2,2,2,6,1,1,3,0,1,3,"60020611"
3,2,6,3,0,0,3,0,3,0,"60020611"
1,1,1,6,1,2,3,0,3,0,"60020621"
2,2,2,6,1,1,3,0,3,0,"60020621"
3,1,3,5,0,0,1,1,1,2,"60020621"
4,1,3,6,2,0,1,1,1,2,"60020621"
1,1,1,6,1,2,3,0,2,0,"60020631"
2,2,2,6,1,1,3,0,2,0,"60020631"
3,2,3,2,1,4,1,1,1,2,"60020631"
4,1,8,2,1,3,2,0,2,0,"60020631"
5,1,4,0,0,0,1,4,1,3,"60020631"
1,1,1,4,0,0,2,0,2,0,"60020641"
1,1,1,6,1,2,3,0,2,0,"60020651"
2,2,2,6,1,1,3,0,2,0,"60020651"
3,1,3,0,0,0,1,1,1,2,"60020651"
1,1,1,4,0,0,2,0,2,0,"60020661"
1,2,1,2,2,0,3,0,2,0,"60020671"
1,1,1,6,1,2,3,0,3,0,"60020681"
2,2,2,6,1,1,3,0,2,0,"60020681"
3,1,3,5,0,0,1,1,1,2,"60020681"
1,1,1,5,0,0,3,0,3,0,"60020691"
1,1,1,6,1,2,3,0,3,0,"60020701"
2,2,2,6,1,1,3,0,3,0,"60020701"
1,1,1,2,1,2,2,0,2,0,"60020711"
2,2,2,2,1,1,3,0,2,0,"60020711"
3,2,3,5,0,0,2,0,1,2,"60020711"
4,2,3,0,0,0,1,1,1,2,"60020711"
1,2,1,3,0,0,3,0,3,0,"60020721"
2,1,4,5,0,0,3,0,2,0,"60020721"
3,2,4,5,0,0,2,0,2,0,"60020721"
4,1,4,5,0,0,3,0,2,0,"60020721"
1,1,1,2,1,2,2,0,2,0,"60020731"
2,2,2,2,1,1,2,0,2,0,"60020731"
3,2,3,5,0,0,2,0,1,2,"60020731"
4,2,3,0,0,0,1,1,1,2,"60020731"
1,1,1,2,1,2,2,0,2,0,"60020741"
2,2,2,2,1,1,2,0,2,0,"60020741"
3,1,3,0,0,0,1,1,1,2,"60020741"
1,1,1,4,0,0,2,0,2,0,"60020751"
1,2,1,4,0,0,3,0,3,0,"60020771"
1,1,1,6,1,2,3,0,3,0,"60020781"
2,2,2,6,1,1,2,0,2,0,"60020781"
3,1,3,5,0,0,2,0,1,2,"60020781"
4,1,3,5,0,0,3,0,1,2,"60020781"
5,2,3,0,0,0,1,1,1,2,"60020781"
1,2,1,4,0,0,2,0,2,0,"60020791"
2,2,3,5,0,0,2,0,1,1,"60020791"
3,2,3,5,0,0,2,0,1,1,"60020791"
4,2,3,5,0,0,2,0,1,1,"60020791"
1,1,1,2,1,2,3,0,2,0,"60020801"
2,2,2,2,1,1,2,0,2,0,"60020801"
3,1,3,1,1,4,1,1,1,2,"60020801"
4,2,8,1,1,3,2,0,2,0,"60020801"
5,1,4,0,0,0,1,3,1,4,"60020801"
6,2,3,0,0,0,1,1,1,2,"60020801"
1,2,1,4,0,0,2,0,2,0,"60020811"
2,2,3,5,0,0,2,0,1,1,"60020811"
3,1,3,5,0,0,2,0,1,1,"60020811"
1,1,1,3,0,0,3,0,3,0,"60020821"
1,1,1,6,1,2,2,0,2,0,"60020841"
2,2,2,6,1,1,2,0,2,0,"60020841"
3,2,3,5,0,0,2,0,1,2,"60020841"
1,1,1,2,1,2,2,0,2,0,"60020851"
2,2,2,2,1,1,3,0,2,0,"60020851"
3,2,3,5,0,0,2,0,1,2,"60020851"
4,2,3,5,0,0,2,0,1,2,"60020851"
5,2,3,5,0,0,3,0,1,2,"60020851"
1,2,1,5,0,0,3,0,3,0,"60020861"
2,2,3,5,0,0,2,0,1,1,"60020861"
3,1,4,0,0,0,2,0,1,2,"60020861"
4,2,3,5,0,0,3,0,1,1,"60020861"
5,1,4,0,0,0,2,0,1,4,"60020861"
1,1,1,6,1,2,3,0,3,0,"60020871"
2,2,2,6,1,1,3,0,3,0,"60020871"
3,1,3,5,0,0,1,1,1,2,"60020871"
4,2,4,5,0,0,2,0,2,0,"60020871"
5,1,9,5,0,0,2,0,1,4,"60020871"
1,1,1,2,1,2,2,0,2,0,"60020881"
2,2,2,2,1,1,2,0,2,0,"60020881"
3,1,3,5,0,0,2,0,1,2,"60020881"
4,2,3,5,0,0,2,0,1,2,"60020881"
5,2,4,0,0,0,2,0,1,4,"60020881"
1,2,1,5,0,0,3,0,3,0,"60020891"
2,2,4,5,0,0,3,0,2,0,"60020891"
3,1,4,5,0,0,3,0,2,0,"60020891"
4,2,4,5,0,0,2,0,2,0,"60020891"
5,2,9,0,0,0,2,0,1,4,"60020891"
1,1,1,6,1,2,3,0,1,3,"60020901"
2,2,2,6,1,1,2,0,2,0,"60020901"
3,2,5,3,0,0,3,0,3,0,"60020901"
4,1,7,5,0,0,3,0,1,3,"60020901"
1,2,1,4,0,0,3,0,2,0,"60020911"
2,1,3,5,0,0,2,0,1,1,"60020911"
3,2,3,0,0,0,2,0,1,1,"60020911"
1,1,1,6,1,2,3,0,3,0,"60020921"
2,2,2,6,1,1,3,0,3,0,"60020921"
3,1,3,5,0,0,1,1,1,2,"60020921"
4,2,3,5,0,0,1,1,1,2,"60020921"
5,1,4,0,0,0,2,0,1,4,"60020921"
1,1,1,5,0,0,2,0,2,0,"60020931"
1,1,1,2,1,2,2,0,2,0,"60020941"
2,2,2,2,1,1,2,0,2,0,"60020941"
3,1,3,0,0,0,1,1,1,2,"60020941"
4,2,3,0,0,0,1,1,1,2,"60020941"
1,1,1,2,1,2,3,0,3,0,"60020951"
2,2,2,2,1,1,2,0,2,0,"60020951"
3,2,3,5,0,0,2,0,1,2,"60020951"
1,1,1,2,1,2,3,0,3,0,"60020961"
2,2,2,2,1,1,3,0,2,0,"60020961"
3,1,3,5,0,0,1,1,1,2,"60020961"
1,1,1,2,1,2,2,0,2,0,"60020971"
2,2,2,2,1,1,2,0,2,0,"60020971"
3,1,3,0,0,0,1,1,1,2,"60020971"
1,1,1,5,0,0,2,0,2,0,"60020981"
2,1,9,5,0,0,2,0,2,0,"60020981"
3,1,9,5,0,0,2,0,2,0,"60020981"
1,2,1,5,0,0,2,0,2,0,"60020991"
1,1,1,4,0,0,2,0,2,0,"60021001"
2,1,3,5,0,0,1,1,2,0,"60021001"
3,1,3,5,0,0,1,1,2,0,"60021001"
1,2,1,6,1,2,3,0,3,0,"60021011"
2,1,2,6,1,1,3,0,2,0,"60021011"
3,1,4,0,0,0,2,0,2,0,"60021011"
1,1,1,4,0,0,3,0,3,0,"60021021"
1,1,1,2,1,2,2,0,2,0,"60021031"
2,2,2,2,1,1,2,0,2,0,"60021031"
3,1,3,0,0,0,1,1,1,2,"60021031"
4,2,3,0,0,0,1,1,1,2,"60021031"
1,2,1,2,1,2,3,0,3,0,"60021041"
2,1,2,2,1,1,3,0,3,0,"60021041"
1,1,1,6,1,2,2,0,2,0,"60021051"
2,2,2,6,1,1,2,0,2,0,"60021051"
3,1,3,0,0,0,2,0,1,2,"60021051"
4,2,3,0,0,0,1,1,1,2,"60021051"
1,1,1,2,1,2,2,0,2,0,"60021061"
2,2,2,2,1,1,3,0,2,0,"60021061"
1,2,1,4,0,0,3,0,2,0,"60021071"
2,2,3,5,0,0,2,0,1,1,"60021071"
3,2,3,0,0,0,2,0,1,1,"60021071"
1,2,1,2,1,2,2,0,2,0,"60021081"
2,1,2,2,1,1,2,0,2,0,"60021081"
3,2,3,5,0,0,2,0,1,1,"60021081"
1,2,1,2,1,2,2,0,2,0,"60021091"
2,1,2,2,1,1,2,0,2,0,"60021091"
3,1,3,5,0,0,2,0,1,1,"60021091"
4,1,3,0,0,0,2,0,1,1,"60021091"
1,2,1,4,0,0,3,0,3,0,"60021101"
2,1,3,5,0,0,2,0,1,1,"60021101"
1,2,1,4,0,0,2,0,2,0,"60021111"
2,2,3,0,0,0,2,0,1,1,"60021111"
1,2,1,4,0,0,2,0,2,0,"60021121"
2,1,3,5,0,0,2,0,1,1,"60021121"
3,2,3,0,0,0,2,0,1,1,"60021121"
1,1,1,5,0,0,2,0,2,0,"60021131"
1,1,1,6,1,2,2,0,2,0,"60021141"
2,2,2,6,1,1,2,0,2,0,"60021141"
3,2,3,5,0,0,1,1,1,2,"60021141"
1,2,1,4,0,0,3,0,2,0,"60021151"
2,2,3,5,0,0,2,0,1,1,"60021151"
1,2,1,5,0,0,2,0,2,0,"60021161"
1,1,1,5,0,0,2,0,2,0,"60021171"
1,2,1,3,0,0,3,0,3,0,"60021181"
2,1,3,5,0,0,3,0,1,1,"60021181"
3,2,3,4,0,0,3,0,1,1,"60021181"
4,2,3,5,0,0,3,0,1,1,"60021181"
1,1,1,1,1,2,2,0,2,0,"60021191"
2,2,2,1,1,1,2,0,2,0,"60021191"
1,1,1,6,1,2,3,0,2,0,"60021201"
2,2,2,6,1,1,2,0,3,0,"60021201"
3,1,3,5,0,0,1,1,1,2,"60021201"
4,1,3,0,0,0,1,1,1,2,"60021201"
1,2,1,4,0,0,2,0,2,0,"60021211"
2,2,3,0,0,0,2,0,1,1,"60021211"
1,2,1,4,0,0,2,0,2,0,"60021221"
2,1,3,5,0,0,2,0,1,1,"60021221"
3,2,3,0,0,0,2,0,1,1,"60021221"
4,1,3,0,0,0,2,0,1,1,"60021221"
1,2,1,4,0,0,3,0,2,0,"60021231"
2,1,3,5,0,0,2,0,1,1,"60021231"
3,1,3,5,0,0,2,0,1,1,"60021231"
1,1,1,2,1,2,3,0,3,0,"60021241"
2,2,2,2,1,1,3,0,3,0,"60021241"
1,2,1,4,0,0,3,0,2,0,"60021251"
1,1,1,2,1,2,2,0,2,0,"60021261"
2,2,2,2,1,1,2,0,2,0,"60021261"
1,1,1,1,1,2,2,0,3,0,"60021271"
2,2,2,1,1,1,3,0,2,0,"60021271"
3,1,3,5,0,0,1,1,1,2,"60021271"
4,2,3,5,0,0,1,1,1,2,"60021271"
1,2,1,4,0,0,3,0,2,0,"60021281"
2,2,3,5,0,0,2,0,1,1,"60021281"
3,2,3,0,0,0,2,0,1,1,"60021281"
1,2,1,4,0,0,3,0,3,0,"60021291"
2,2,3,5,0,0,2,0,1,1,"60021291"
3,2,3,5,0,0,2,0,1,1,"60021291"
4,2,3,5,0,0,2,0,1,1,"60021291"
1,2,1,3,0,0,2,0,2,0,"60021301"
2,1,3,5,0,0,3,0,1,1,"60021301"
3,1,3,0,0,0,2,0,1,1,"60021301"
1,2,1,2,2,0,2,0,2,0,"60021311"
2,2,3,0,0,0,2,0,1,1,"60021311"
1,2,1,2,1,2,3,0,3,0,"60021321"
2,1,2,2,1,1,3,0,3,0,"60021321"
1,2,1,4,0,0,3,0,3,0,"60021331"
1,2,1,3,0,0,3,0,3,0,"60021341"
1,2,1,2,1,2,3,0,2,0,"60021351"
2,1,2,2,1,1,2,0,2,0,"60021351"
3,2,3,5,0,0,2,0,1,1,"60021351"
1,1,1,2,1,2,2,0,2,0,"60021361"
2,2,2,2,1,1,2,0,2,0,"60021361"
1,2,1,6,2,0,2,0,2,0,"60021371"
2,1,3,5,0,0,2,0,1,1,"60021371"
3,1,3,5,0,0,2,0,1,1,"60021371"
1,2,1,1,1,2,3,0,2,0,"60021381"
2,1,2,1,1,1,2,0,2,0,"60021381"
1,1,1,1,1,2,2,0,2,0,"60021391"
2,2,2,1,1,1,2,0,2,0,"60021391"
3,1,3,5,0,0,1,1,1,2,"60021391"
4,1,3,0,0,0,1,1,1,2,"60021391"
5,2,3,0,0,0,1,1,1,2,"60021391"
1,2,1,2,1,2,2,0,2,0,"60021401"
2,1,2,2,1,1,2,0,2,0,"60021401"
3,2,3,0,0,0,1,2,1,1,"60021401"
1,1,1,2,1,2,3,0,3,0,"60021411"
2,2,2,2,1,1,2,0,2,0,"60021411"
3,1,3,4,0,0,1,1,1,2,"60021411"
4,2,4,0,0,0,1,3,2,0,"60021411"
5,1,4,0,0,0,2,0,2,0,"60021411"
6,1,4,0,0,0,2,0,2,0,"60021411"
1,2,1,4,0,0,2,0,3,0,"60021421"
1,2,1,3,0,0,3,0,3,0,"60021431"
1,2,1,3,0,0,3,0,3,0,"60021441"
2,2,3,5,0,0,3,0,1,1,"60021441"
3,1,3,5,0,0,3,0,1,1,"60021441"
4,1,3,5,0,0,3,0,1,1,"60021441"
1,2,1,1,1,2,3,0,3,0,"60021451"
2,1,2,1,1,1,3,0,3,0,"60021451"
1,2,1,2,1,2,2,0,2,0,"60021461"
2,1,2,2,1,1,3,0,3,0,"60021461"
3,2,3,5,0,0,2,0,1,1,"60021461"
1,2,1,3,0,0,3,0,3,0,"60021471"
2,1,4,5,0,0,2,0,2,0,"60021471"
3,1,4,5,0,0,2,0,2,0,"60021471"
1,1,1,6,1,2,2,0,2,0,"60021481"
2,2,2,6,1,1,2,0,2,0,"60021481"
3,2,3,0,0,0,1,1,1,2,"60021481"
1,1,1,1,1,2,3,0,2,0,"60021491"
2,2,2,1,1,1,2,0,2,0,"60021491"
3,2,3,5,0,0,1,1,1,2,"60021491"
4,2,3,0,0,0,1,1,1,2,"60021491"
1,1,1,2,1,2,2,0,2,0,"60021501"
2,2,2,2,1,1,2,0,2,0,"60021501"
1,2,1,4,0,0,2,0,2,0,"60021511"
2,1,3,0,0,0,2,0,1,1,"60021511"
1,1,1,5,0,0,2,0,2,0,"60021521"
1,2,1,3,0,0,3,0,3,0,"60021531"
2,1,3,5,0,0,3,0,1,1,"60021531"
1,2,1,4,0,0,3,0,3,0,"60021541"
2,1,3,5,0,0,2,0,1,1,"60021541"
1,1,1,2,1,2,2,0,2,0,"60021561"
2,2,2,2,1,1,2,0,3,0,"60021561"
1,2,1,3,0,0,2,0,2,0,"60021571"
2,1,3,5,0,0,3,0,2,0,"60021571"
3,1,3,2,1,4,3,0,1,1,"60021571"
4,2,8,2,1,3,2,0,2,0,"60021571"
1,2,1,3,0,0,3,0,3,0,"60021581"
2,2,3,5,0,0,2,0,1,1,"60021581"
1,1,1,6,1,2,3,0,2,0,"60021591"
2,2,2,6,1,1,3,0,2,0,"60021591"
3,2,3,0,0,0,1,1,1,2,"60021591"
1,2,1,5,0,0,2,0,1,5,"60021601"
2,1,3,5,0,0,3,0,1,1,"60021601"
3,2,3,5,0,0,3,0,1,1,"60021601"
4,1,3,0,0,0,2,0,1,1,"60021601"
5,2,5,6,2,0,3,0,3,0,"60021601"
1,1,1,2,1,2,2,0,2,0,"60021611"
2,2,2,2,1,1,2,0,2,0,"60021611"
1,1,1,6,1,2,3,0,3,0,"60021621"
2,2,2,6,1,1,3,0,3,0,"60021621"
3,2,3,4,0,0,1,1,1,2,"60021621"
1,1,1,2,1,2,2,0,2,0,"60021631"
2,2,2,2,1,1,2,0,2,0,"60021631"
3,1,3,0,0,0,1,1,1,2,"60021631"
1,2,1,5,0,0,2,0,2,0,"60021641"
2,1,3,0,0,0,2,0,1,1,"60021641"
3,1,9,5,0,0,3,0,3,0,"60021641"
1,1,1,2,1,2,2,0,2,0,"60021651"
2,2,2,2,1,1,2,0,3,0,"60021651"
3,2,3,0,0,0,1,1,1,2,"60021651"
1,1,1,5,0,0,3,0,3,0,"60021661"
2,2,7,5,0,0,3,0,3,0,"60021661"
1,1,1,6,1,2,2,0,2,0,"60021671"
2,2,2,6,1,1,3,0,2,0,"60021671"
1,2,1,4,0,0,1,4,3,0,"60021681"
2,2,3,5,0,0,2,0,1,1,"60021681"
3,2,3,5,0,0,2,0,1,1,"60021681"
4,1,5,4,0,0,3,0,3,0,"60021681"
1,1,1,6,1,2,2,0,2,0,"60021691"
2,2,2,6,1,1,3,0,2,0,"60021691"
3,1,3,0,0,0,1,1,1,2,"60021691"
4,1,3,0,0,0,1,1,1,2,"60021691"
1,2,1,3,0,0,3,0,3,0,"60021701"
1,2,1,3,0,0,3,0,3,0,"60021711"
2,2,3,5,0,0,3,0,1,1,"60021711"
3,2,3,4,0,0,3,0,1,1,"60021711"
4,1,4,0,0,0,2,0,1,3,"60021711"
1,2,1,5,0,0,3,0,3,0,"60021721"
2,1,3,0,0,0,2,0,1,1,"60021721"
1,2,1,3,0,0,3,0,3,0,"60021731"
2,1,3,2,1,3,3,0,1,1,"60021731"
3,2,8,2,1,2,3,0,3,0,"60021731"
4,1,4,0,0,0,1,2,1,3,"60021731"
1,1,1,6,1,2,2,0,2,0,"60021741"
2,2,2,6,1,1,2,0,2,0,"60021741"
3,1,3,5,0,0,1,1,1,2,"60021741"
1,1,1,2,1,2,2,0,2,0,"60021751"
2,2,2,2,1,1,2,0,2,0,"60021751"
3,1,3,0,0,0,2,0,1,2,"60021751"
1,1,1,6,1,2,2,0,2,0,"60021761"
2,2,2,6,1,1,3,0,3,0,"60021761"
1,2,1,4,0,0,2,0,2,0,"60021781"
2,1,3,5,0,0,2,0,1,1,"60021781"
3,1,3,5,0,0,2,0,1,1,"60021781"
1,2,1,2,2,0,2,0,3,0,"60021791"
2,2,3,0,0,0,2,0,1,1,"60021791"
1,1,1,6,1,2,2,0,2,0,"60021801"
2,2,2,6,1,1,2,0,1,5,"60021801"
3,2,3,5,0,0,1,1,1,2,"60021801"
4,2,3,5,0,0,1,1,1,2,"60021801"
5,2,6,4,0,0,3,0,3,0,"60021801"
1,1,1,6,1,2,2,0,2,0,"60021811"
2,2,2,6,1,1,2,0,2,0,"60021811"
3,1,3,5,0,0,1,1,1,2,"60021811"
4,2,3,5,0,0,1,1,1,2,"60021811"
1,2,1,4,0,0,3,0,2,0,"60021821"
2,1,3,4,0,0,2,0,1,1,"60021821"
3,2,4,5,0,0,1,2,2,0,"60021821"
4,1,4,0,0,0,1,2,2,0,"60021821"
1,1,1,2,1,2,1,5,2,0,"60021831"
2,2,2,2,1,1,2,0,2,0,"60021831"
3,1,3,0,0,0,2,0,1,2,"60021831"
4,2,3,0,0,0,1,1,1,2,"60021831"
5,1,5,4,0,0,2,0,2,0,"60021831"
1,1,1,6,1,2,2,0,2,0,"60021851"
2,2,2,6,1,1,2,0,3,0,"60021851"
3,2,3,5,0,0,1,1,1,2,"60021851"
4,1,4,0,0,0,2,0,1,3,"60021851"
1,1,1,6,1,2,3,0,3,0,"60021871"
2,2,2,6,1,1,3,0,3,0,"60021871"
3,1,3,5,0,0,1,1,1,2,"60021871"
1,2,1,4,0,0,2,0,2,0,"60021881"
2,2,3,5,0,0,2,0,1,1,"60021881"
3,2,4,6,2,0,2,0,1,2,"60021881"
1,1,1,6,1,2,3,0,3,0,"60021891"
2,2,2,6,1,1,3,0,3,0,"60021891"
3,2,3,5,0,0,1,1,1,2,"60021891"
4,1,3,2,2,0,1,1,1,2,"60021891"
1,2,1,5,0,0,3,0,3,0,"60021901"
2,2,3,4,0,0,3,0,1,1,"60021901"
1,1,1,2,1,2,2,0,3,0,"60021921"
2,2,2,2,1,1,3,0,2,0,"60021921"
3,1,3,5,0,0,1,1,1,2,"60021921"
4,1,3,5,0,0,1,1,1,2,"60021921"
5,1,3,1,1,6,1,1,1,2,"60021921"
6,2,8,1,1,5,2,0,2,0,"60021921"
1,2,1,4,0,0,3,0,3,0,"60021931"
1,1,1,6,1,2,3,0,3,0,"60021941"
2,2,2,6,1,1,3,0,3,0,"60021941"
1,1,1,4,0,0,3,0,3,0,"60021951"
1,2,1,5,0,0,3,0,3,0,"60021961"
2,2,7,5,0,0,3,0,3,0,"60021961"
1,2,1,3,0,0,3,0,3,0,"60021971"
1,1,1,6,1,2,2,0,2,0,"60021981"
2,2,2,6,1,1,3,0,3,0,"60021981"
3,1,3,5,0,0,1,1,1,2,"60021981"
4,2,3,5,0,0,1,1,1,2,"60021981"
1,2,1,4,0,0,3,0,3,0,"60021991"
2,2,3,5,0,0,2,0,1,1,"60021991"
3,2,9,4,0,0,3,0,3,0,"60021991"
1,2,1,6,1,2,2,0,2,0,"60022001"
2,1,2,6,1,1,2,0,2,0,"60022001"
3,2,3,5,0,0,1,2,1,1,"60022001"
4,1,3,5,0,0,1,2,1,1,"60022001"
5,2,9,5,0,0,2,0,2,0,"60022001"
1,1,1,2,1,2,2,0,2,0,"60022011"
2,2,2,2,1,1,2,0,2,0,"60022011"
1,2,1,4,0,0,2,0,3,0,"60022021"
2,1,4,0,0,0,2,0,2,0,"60022021"
1,2,1,5,0,0,2,0,2,0,"60022031"
2,1,3,0,0,0,2,0,1,1,"60022031"
1,1,1,6,1,2,2,0,2,0,"60022041"
2,2,2,6,1,1,2,0,2,0,"60022041"
1,2,1,6,2,0,2,0,2,0,"60022051"
2,2,3,5,0,0,2,0,1,1,"60022051"
1,1,1,4,0,0,2,0,2,0,"60022061"
2,1,3,5,0,0,1,1,2,0,"60022061"
3,2,3,5,0,0,1,1,2,0,"60022061"
1,1,1,6,1,2,2,0,2,0,"60022071"
2,2,2,6,1,1,2,0,2,0,"60022071"
3,1,3,5,0,0,1,1,1,2,"60022071"
4,1,4,0,0,0,2,0,2,0,"60022071"
1,1,1,4,0,0,3,0,3,0,"60022081"
1,1,1,2,1,2,2,0,2,0,"60022091"
2,2,2,2,1,1,2,0,2,0,"60022091"
1,1,1,6,1,2,3,0,3,0,"60022101"
2,2,2,6,1,1,3,0,2,0,"60022101"
1,1,1,6,1,2,2,0,2,0,"60022111"
2,2,2,6,1,1,2,0,2,0,"60022111"
1,2,1,4,0,0,2,0,2,0,"60022121"
2,1,3,2,1,3,2,0,1,1,"60022121"
3,2,8,2,1,2,2,0,2,0,"60022121"
1,2,1,2,1,2,3,0,2,0,"60022131"
2,1,2,2,1,1,3,0,3,0,"60022131"
1,1,1,6,1,2,1,6,1,7,"60022141"
2,2,2,6,1,1,2,0,2,0,"60022141"
3,2,3,5,0,0,1,1,1,2,"60022141"
4,2,3,4,0,0,1,1,1,2,"60022141"
5,1,4,0,0,0,2,0,1,4,"60022141"
6,1,5,2,1,7,3,0,3,0,"60022141"
7,2,5,2,1,6,3,0,3,0,"60022141"
1,1,1,6,1,2,2,0,2,0,"60022151"
2,2,2,6,1,1,3,0,2,0,"60022151"
3,1,3,5,0,0,1,1,1,2,"60022151"
4,1,3,5,0,0,1,1,1,2,"60022151"
1,1,1,2,1,2,2,0,2,0,"60022161"
2,2,2,2,1,1,3,0,2,0,"60022161"
3,2,3,2,2,0,1,1,1,2,"60022161"
4,2,4,0,0,0,2,0,1,3,"60022161"
