"ORDEN","P6020","P6051","P5502","P6071","P6071S1","P6081","P6081S1","P6083","P6083S1","LLAVEHOG"
3,1,3,1,1,4,3,0,1,1,"60000361"
4,2,8,1,1,3,2,0,2,0,"60000361"
5,2,3,4,0,0,2,0,1,1,"60000361"
6,2,4,0,0,0,2,0,1,5,"60000361"
7,2,4,0,0,0,2,0,1,5,"60000361"
1,2,1,2,2,0,3,0,2,0,"60000371"
2,2,3,5,0,0,2,0,1,1,"60000371"
3,1,3,0,0,0,2,0,1,1,"60000371"
1,1,1,2,1,2,3,0,3,0,"60000391"
2,2,2,2,1,1,3,0,2,0,"60000391"
3,2,3,5,0,0,1,1,1,2,"60000391"
4,2,3,0,0,0,1,1,1,2,"60000391"
1,1,1,2,1,2,2,0,2,0,"60000421"
2,2,2,2,1,1,3,0,2,0,"60000421"
3,1,3,5,0,0,1,1,1,2,"60000421"
4,2,3,5,0,0,1,1,1,2,"60000421"
1,2,1,6,2,0,3,0,3,0,"60000431"
2,2,3,6,1,3,2,0,1,1,"60000431"
3,1,8,6,1,2,2,0,2,0,"60000431"
4,1,4,0,0,0,1,3,1,2,"60000431"
1,2,1,6,1,2,3,0,2,0,"60000441"
2,1,2,6,1,1,2,0,2,0,"60000441"
3,1,3,5,0,0,1,2,1,1,"60000441"
4,1,3,0,0,0,1,2,1,1,"60000441"
1,1,1,6,1,2,3,0,3,0,"60000451"
2,2,2,6,1,1,3,0,3,0,"60000451"
1,2,1,2,1,2,3,0,2,0,"60000461"
2,1,2,2,1,1,2,0,2,0,"60000461"
3,1,3,0,0,0,2,0,1,1,"60000461"
4,2,3,0,0,0,2,0,1,1,"60000461"
1,1,1,6,1,2,2,0,2,0,"60000471"
2,2,2,6,1,1,3,0,2,0,"60000471"
3,2,3,6,1,4,1,1,1,2,"60000471"
4,1,8,6,1,3,2,0,2,0,"60000471"
5,1,4,5,0,0,1,4,1,3,"60000471"
6,1,3,6,1,7,1,1,1,2,"60000471"
7,2,8,6,1,6,2,0,2,0,"60000471"
8,2,4,0,0,0,1,6,1,7,"60000471"
1,2,1,3,0,0,3,0,2,0,"60000481"
2,2,3,2,1,3,3,0,1,1,"60000481"
3,1,8,2,1,2,2,0,2,0,"60000481"
4,2,4,5,0,0,1,3,1,2,"60000481"
1,1,1,2,1,2,2,0,2,0,"60000482"
2,2,2,2,1,1,3,0,2,0,"60000482"
3,1,3,0,0,0,1,1,1,2,"60000482"
1,2,1,3,0,0,3,0,2,0,"60000491"
2,2,9,5,0,0,3,0,3,0,"60000491"
1,2,1,5,0,0,2,0,2,0,"60000501"
1,1,1,2,1,2,2,0,2,0,"60000511"
2,2,2,2,1,1,3,0,2,0,"60000511"
3,1,3,5,0,0,1,1,1,2,"60000511"
4,2,4,0,0,0,2,0,2,0,"60000511"
1,2,1,3,0,0,3,0,3,0,"60000521"
2,2,3,5,0,0,3,0,1,1,"60000521"
3,2,4,5,0,0,2,0,1,2,"60000521"
1,2,1,5,0,0,2,0,2,0,"60000531"
2,2,3,0,0,0,2,0,1,1,"60000531"
1,1,1,6,1,2,3,0,2,0,"60000541"
2,2,2,6,1,1,2,0,1,4,"60000541"
3,1,3,0,0,0,1,1,1,2,"60000541"
4,2,6,6,2,0,3,0,3,0,"60000541"
1,1,1,6,1,2,2,0,2,0,"60000551"
2,2,2,6,1,1,2,0,2,0,"60000551"
1,2,1,5,0,0,3,0,3,0,"60000561"
2,1,3,5,0,0,2,0,1,1,"60000561"
3,2,7,5,0,0,3,0,3,0,"60000561"
4,2,7,4,0,0,3,0,3,0,"60000561"
5,1,9,5,0,0,2,0,1,3,"60000561"
6,2,9,5,0,0,2,0,1,3,"60000561"
1,1,1,3,0,0,3,0,3,0,"60000571"
2,1,7,5,0,0,3,0,3,0,"60000571"
3,1,7,5,0,0,3,0,3,0,"60000571"
1,2,1,5,0,0,3,0,3,0,"60000581"
2,2,3,6,1,3,2,0,1,1,"60000581"
3,1,8,6,1,2,2,0,2,0,"60000581"
4,1,4,5,0,0,1,3,1,2,"60000581"
5,2,4,5,0,0,1,3,1,2,"60000581"
6,1,9,5,0,0,2,0,2,0,"60000581"
1,1,1,6,1,2,3,0,3,0,"60000591"
2,2,2,6,1,1,2,0,3,0,"60000591"
3,1,3,5,0,0,1,1,1,2,"60000591"
4,2,3,5,0,0,1,1,1,2,"60000591"
5,1,4,0,0,0,2,0,2,0,"60000591"
1,2,1,5,0,0,3,0,3,0,"60000601"
1,1,1,2,1,2,2,0,2,0,"60000611"
2,2,2,2,1,1,2,0,2,0,"60000611"
3,1,3,0,0,0,1,1,1,2,"60000611"
4,1,3,0,0,0,1,1,1,2,"60000611"
1,2,1,6,2,0,2,0,2,0,"60000621"
